DataSavedTime,MilliSecond,Item001,Item002,Item003,Item004,Item005,Item006,Item007,Item008,Item009,Item010
2019-05-24 17:54:00.000,0,,,,,,,,,,
2019-05-24 17:55:00.000,0,14.7,10.97,12.4,52.49,52.65,9.53,,,,
2019-05-24 17:56:00.000,0,14.71,10.98,12.4,52.53,52.69,9.53,,,,
2019-05-24 17:57:00.000,0,14.73,10.99,12.41,52.56,52.72,9.54,,,,
2019-05-24 17:58:00.000,0,14.74,10.99,12.42,52.59,52.75,9.55,,,,
2019-05-24 17:59:00.000,0,14.75,11,12.43,52.62,52.78,9.55,,,,
2019-05-24 18:00:00.000,0,14.76,11,12.44,52.65,52.81,9.56,,,,
2019-05-24 18:01:00.000,0,14.77,11.01,12.45,52.69,52.85,9.56,,,,
2019-05-24 18:02:00.000,0,14.79,11.02,12.46,52.72,52.88,9.57,,,,
2019-05-24 18:03:00.000,0,14.8,11.02,12.47,52.75,52.91,9.58,,,,
2019-05-24 18:04:00.000,0,14.81,11.03,12.48,52.78,52.94,9.58,,,,
2019-05-24 18:05:00.000,0,14.82,11.04,12.49,52.81,52.97,9.59,,,,
2019-05-24 18:06:00.000,0,14.84,11.04,12.5,52.85,53,9.59,,,,
2019-05-24 18:07:00.000,0,14.85,11.05,12.51,52.88,53.04,9.6,,,,
2019-05-24 18:08:00.000,0,14.86,11.06,12.52,52.91,53.07,9.6,,,,
2019-05-24 18:09:00.000,0,14.87,11.06,12.53,52.94,53.1,9.61,,,,
2019-05-24 18:10:00.000,0,14.89,11.07,12.54,52.97,53.13,9.62,,,,
2019-05-24 18:11:00.000,0,14.9,11.08,12.54,53,53.16,9.62,,,,
2019-05-24 18:12:00.000,0,14.91,11.08,12.55,53.04,53.19,9.63,,,,
2019-05-24 18:13:00.000,0,14.92,11.09,12.56,53.07,53.22,9.63,,,,
2019-05-24 18:14:00.000,0,14.94,11.1,12.57,53.1,53.25,9.64,,,,
2019-05-24 18:15:00.000,0,14.95,11.1,12.58,53.13,53.28,9.64,,,,
2019-05-24 18:16:00.000,0,14.96,11.11,12.59,53.16,53.31,9.65,,,,
2019-05-24 18:17:00.000,0,14.97,11.12,12.6,53.19,53.34,9.65,,,,
2019-05-24 18:18:00.000,0,14.99,11.12,12.61,53.22,53.38,9.66,,,,
2019-05-24 18:19:00.000,0,15,11.13,12.62,53.25,53.41,9.67,,,,
2019-05-24 18:20:00.000,0,15.01,11.14,12.63,53.28,53.44,9.67,,,,
2019-05-24 18:21:00.000,0,15.03,11.15,12.64,53.32,53.47,9.68,,,,
2019-05-24 18:22:00.000,0,15.04,11.15,12.65,53.35,53.5,9.68,,,,
2019-05-24 18:23:00.000,0,15.05,11.16,12.66,53.38,53.53,9.69,,,,
2019-05-24 18:24:00.000,0,15.07,11.17,12.67,53.41,53.56,9.69,,,,
2019-05-24 18:25:00.000,0,15.08,11.17,12.68,53.44,53.59,9.7,,,,
