DataSavedTime,MilliSecond,Item001,Item002,Item003,Item004,Item005,Item006,Item007,Item008,Item009,Item010
2019-05-24 17:54:00.000,0,,,,,,,,,,
2019-05-24 17:55:00.000,0,37.48,41.5,39.57,6.71,6.65,51.7,,,,
2019-05-24 17:56:00.000,0,37.5,41.52,39.59,6.71,6.66,51.73,,,,
2019-05-24 17:57:00.000,0,37.52,41.55,39.61,6.72,6.66,51.76,,,,
2019-05-24 17:58:00.000,0,37.54,41.57,39.64,6.72,6.66,51.79,,,,
2019-05-24 17:59:00.000,0,37.55,41.6,39.66,6.72,6.67,51.82,,,,
2019-05-24 18:00:00.000,0,37.57,41.62,39.68,6.73,6.67,51.85,,,,
2019-05-24 18:01:00.000,0,37.59,41.65,39.7,6.73,6.68,51.89,,,,
2019-05-24 18:02:00.000,0,37.61,41.67,39.72,6.74,6.68,51.92,,,,
2019-05-24 18:03:00.000,0,37.63,41.69,39.74,6.74,6.68,51.95,,,,
2019-05-24 18:04:00.000,0,37.65,41.72,39.76,6.74,6.69,51.98,,,,
2019-05-24 18:05:00.000,0,37.66,41.74,39.78,6.75,6.69,52.01,,,,
2019-05-24 18:06:00.000,0,37.68,41.77,39.8,6.75,6.7,52.04,,,,
2019-05-24 18:07:00.000,0,37.7,41.79,39.83,6.76,6.7,52.08,,,,
2019-05-24 18:08:00.000,0,37.72,41.82,39.85,6.76,6.7,52.11,,,,
2019-05-24 18:09:00.000,0,37.74,41.84,39.87,6.76,6.71,52.14,,,,
2019-05-24 18:10:00.000,0,37.75,41.86,39.89,6.77,6.71,52.17,,,,
2019-05-24 18:11:00.000,0,37.77,41.89,39.91,6.77,6.72,52.2,,,,
2019-05-24 18:12:00.000,0,37.79,41.91,39.93,6.78,6.72,52.23,,,,
2019-05-24 18:13:00.000,0,37.81,41.94,39.95,6.78,6.72,52.26,,,,
2019-05-24 18:14:00.000,0,37.83,41.96,39.97,6.78,6.73,52.29,,,,
2019-05-24 18:15:00.000,0,37.85,41.98,39.99,6.79,6.73,52.32,,,,
2019-05-24 18:16:00.000,0,37.86,42.01,40.01,6.79,6.73,52.35,,,,
2019-05-24 18:17:00.000,0,37.88,42.03,40.04,6.8,6.74,52.39,,,,
2019-05-24 18:18:00.000,0,37.9,42.06,40.06,6.8,6.74,52.42,,,,
2019-05-24 18:19:00.000,0,37.92,42.08,40.08,6.8,6.75,52.45,,,,
2019-05-24 18:20:00.000,0,37.93,42.1,40.1,6.81,6.75,52.48,,,,
2019-05-24 18:21:00.000,0,37.95,42.13,40.12,6.81,6.75,52.51,,,,
2019-05-24 18:22:00.000,0,37.97,42.15,40.14,6.82,6.76,52.54,,,,
2019-05-24 18:23:00.000,0,37.99,42.17,40.16,6.82,6.76,52.57,,,,
2019-05-24 18:24:00.000,0,38.01,42.2,40.18,6.82,6.77,52.6,,,,
2019-05-24 18:25:00.000,0,38.02,42.22,40.2,6.83,6.77,52.63,,,,
2019-05-24 18:26:00.000,0,38.04,42.25,40.23,6.83,6.77,52.66,,,,
2019-05-24 18:27:00.000,0,38.06,42.27,40.25,6.84,6.78,52.69,,,,
2019-05-24 18:28:00.000,0,38.08,42.29,40.27,6.84,6.78,52.72,,,,
2019-05-24 18:29:00.000,0,38.09,42.32,40.29,6.84,6.79,52.76,,,,
2019-05-24 18:30:00.000,0,38.11,42.34,40.31,6.85,6.79,52.79,,,,
2019-05-24 18:31:00.000,0,38.13,42.37,40.33,6.85,6.79,52.82,,,,
2019-05-24 18:32:00.000,0,38.14,42.39,40.35,6.86,6.8,52.85,,,,
2019-05-24 18:33:00.000,0,38.16,42.41,40.37,6.86,6.8,52.88,,,,
2019-05-24 18:34:00.000,0,38.18,42.44,40.39,6.86,6.8,52.91,,,,
2019-05-24 18:35:00.000,0,38.2,42.46,40.41,6.87,6.81,52.94,,,,
2019-05-24 18:36:00.000,0,38.21,42.49,40.43,6.87,6.81,52.97,,,,
2019-05-24 18:37:00.000,0,38.23,42.51,40.45,6.87,6.82,53,,,,
2019-05-24 18:38:00.000,0,38.25,42.53,40.47,6.88,6.82,53.03,,,,
2019-05-24 18:39:00.000,0,38.27,42.56,40.5,6.88,6.82,53.06,,,,
2019-05-24 18:40:00.000,0,38.29,42.58,40.52,6.89,6.83,53.1,,,,
2019-05-24 18:41:00.000,0,38.3,42.61,40.54,6.89,6.83,53.13,,,,
2019-05-24 18:42:00.000,0,38.32,42.63,40.56,6.89,6.84,53.16,,,,
2019-05-24 18:43:00.000,0,38.34,42.65,40.58,6.9,6.84,53.19,,,,
2019-05-24 18:44:00.000,0,38.36,42.68,40.6,6.9,6.84,53.22,,,,
2019-05-24 18:45:00.000,0,38.37,42.7,40.62,6.91,6.85,53.25,,,,
2019-05-24 18:46:00.000,0,38.39,42.73,40.64,6.91,6.85,53.28,,,,
2019-05-24 18:47:00.000,0,38.41,42.75,40.66,6.91,6.86,53.31,,,,
2019-05-24 18:48:00.000,0,38.43,42.77,40.68,6.92,6.86,53.34,,,,
2019-05-24 18:49:00.000,0,38.45,42.8,40.7,6.92,6.86,53.37,,,,
2019-05-24 18:50:00.000,0,38.46,42.82,40.72,6.93,6.87,53.4,,,,
2019-05-24 18:51:00.000,0,38.48,42.84,40.74,6.93,6.87,53.44,,,,
2019-05-24 18:52:00.000,0,38.5,42.87,40.76,6.93,6.88,53.47,,,,
2019-05-24 18:53:00.000,0,38.51,42.89,40.78,6.94,6.88,53.5,,,,
2019-05-24 18:54:00.000,0,38.53,42.91,40.8,6.94,6.88,53.53,,,,
2019-05-24 18:55:00.000,0,38.55,42.94,40.82,6.95,6.89,53.56,,,,
2019-05-24 18:56:00.000,0,38.57,42.96,40.84,6.95,6.89,53.59,,,,
2019-05-24 18:57:00.000,0,38.58,42.99,40.87,6.95,6.89,53.62,,,,
2019-05-24 18:58:00.000,0,38.6,43.01,40.89,6.96,6.9,53.65,,,,
2019-05-24 18:59:00.000,0,38.62,43.03,40.91,6.96,6.9,53.68,,,,
2019-05-24 19:00:00.000,0,38.64,43.06,40.93,6.97,6.91,53.71,,,,
2019-05-24 19:01:00.000,0,38.65,43.08,40.95,6.97,6.91,53.74,,,,
2019-05-24 19:02:00.000,0,38.67,43.1,40.97,6.97,6.91,53.77,,,,
2019-05-24 19:03:00.000,0,38.69,43.13,40.99,6.98,6.92,53.81,,,,
2019-05-24 19:04:00.000,0,38.7,43.15,41.01,6.98,6.92,53.84,,,,
2019-05-24 19:05:00.000,0,38.72,43.17,41.03,6.99,6.93,53.87,,,,
2019-05-24 19:06:00.000,0,38.74,43.2,41.05,6.99,6.93,53.9,,,,
