DataSavedTime,MilliSecond,Item001,Item002,Item003,Item004,Item005,Item006,Item007,Item008,Item009,Item010
2019-06-03 17:00:00.000,0,,,,,,,,,,
2019-06-03 17:01:00.000,0,,,,,,,,,,
2019-06-03 17:02:00.000,0,,,,,,,,,,
2019-06-03 17:03:00.000,0,,,,,,,,,,
2019-06-03 17:04:00.000,0,,,,,,,,,,
2019-06-03 17:05:00.000,0,,,,,,,,,,
2019-06-03 17:06:00.000,0,,,,,,,,,,
2019-06-03 17:07:00.000,0,,,,,,,,,,
2019-06-03 17:08:00.000,0,,,,,,,,,,
2019-06-03 17:09:00.000,0,,,,,,,,,,
2019-06-03 17:10:00.000,0,,,,,,,,,,
2019-06-03 17:11:00.000,0,,,,,,,,,,
2019-06-03 17:12:00.000,0,,,,,,,,,,
2019-06-03 17:13:00.000,0,,,,,,,,,,
2019-06-03 17:14:00.000,0,,,,,,,,,,
2019-06-03 17:15:00.000,0,,,,,,,,,,
2019-06-03 17:16:00.000,0,,,,,,,,,,
2019-06-03 17:17:00.000,0,,,,,,,,,,
2019-06-03 17:18:00.000,0,,,,,,,,,,
2019-06-03 17:19:00.000,0,,,,,,,,,,
2019-06-03 17:20:00.000,0,,,,,,,,,,
2019-06-03 17:21:00.000,0,,,,,,,,,,
2019-06-03 17:22:00.000,0,327.5,329.3,328.8,386.2,387.4,389.1,,,,
2019-06-03 17:23:00.000,0,321.8,322.9,326.3,380.1,381.5,383.1,,,,
2019-06-03 17:24:00.000,0,321.6,324.3,321.7,379.8,380.5,382.7,,,,
2019-06-03 17:25:00.000,0,327.6,328.9,329.5,379.7,380.4,382.8,,,,
2019-06-03 17:26:00.000,0,327.9,328.1,325.1,380.4,381.4,382.7,,,,
2019-06-03 17:27:00.000,0,320.1,322.1,321.6,380.5,381.3,382.6,,,,
2019-06-03 17:28:00.000,0,327.9,324.7,323,380.7,381.6,383.6,,,,
2019-06-03 17:29:00.000,0,327.5,325,323.8,381.1,381.6,383.3,,,,
2019-06-03 17:30:00.000,0,320.4,322.5,322.2,381,381.6,383,,,,
2019-06-03 17:31:00.000,0,324,324.3,324.6,381.2,382.2,383.6,,,,
2019-06-03 17:32:00.000,0,322.6,322.2,321.7,379.6,381.1,382.8,,,,
2019-06-03 17:33:00.000,0,326.9,326.8,325.7,379.8,380.8,382.1,,,,
2019-06-03 17:34:00.000,0,320.4,323.6,324.3,379.5,381,382.6,,,,
2019-06-03 17:35:00.000,0,326.9,329.2,329.9,379.8,381,382.7,,,,
2019-06-03 17:36:00.000,0,326.1,326,323.6,380.2,380.6,382.5,,,,
2019-06-03 17:37:00.000,0,326,326,323,380.9,381.3,383.1,,,,
2019-06-03 17:38:00.000,0,326.2,325.4,328.3,382.3,382.7,384.6,,,,
2019-06-03 17:39:00.000,0,322.4,322.6,322.7,382.2,383.1,384.8,,,,
2019-06-03 17:40:00.000,0,322.9,328.5,324.3,382.8,383.8,385.5,,,,
2019-06-03 17:41:00.000,0,322.5,322.4,323,383,383.8,385.5,,,,
2019-06-03 17:42:00.000,0,326.9,329.9,329.7,383.2,383.9,385.7,,,,
2019-06-03 17:43:00.000,0,327.1,329.6,325.2,383.3,384.1,385.7,,,,
2019-06-03 17:44:00.000,0,325.2,323.5,322.8,383.3,384.5,386.1,,,,
2019-06-03 17:45:00.000,0,325.3,323.6,323.4,383.6,384.8,386.4,,,,
2019-06-03 17:46:00.000,0,320.2,324.2,329.6,384,384.7,386.3,,,,
2019-06-03 17:47:00.000,0,324.4,323.2,324.6,383.6,384.8,386.3,,,,
2019-06-03 17:48:00.000,0,327.7,325.9,322.2,384.2,384.9,386.4,,,,
2019-06-03 17:49:00.000,0,321.3,322.2,328.6,384.1,384.8,386.3,,,,
2019-06-03 17:50:00.000,0,327.6,325.8,323.1,384.6,385,386.5,,,,
2019-06-03 17:51:00.000,0,323,328.7,326.2,384.1,385.2,387,,,,
2019-06-03 17:52:00.000,0,320.2,324.9,322.5,384.5,385.3,387,,,,
2019-06-03 17:53:00.000,0,323.7,322.2,328.6,384.5,385.3,387,,,,
2019-06-03 17:54:00.000,0,326.2,329.5,321.9,384.8,385.7,387.6,,,,
2019-06-03 17:55:00.000,0,320.8,323.7,329.1,385.4,386.4,387.7,,,,
2019-06-03 17:56:00.000,0,326.8,327.3,325.6,384.6,385.6,387.2,,,,
2019-06-03 17:57:00.000,0,326.6,323.2,328.3,385.4,386.4,387.7,,,,
2019-06-03 17:58:00.000,0,323.6,329.4,321.9,385.1,386.4,387.4,,,,
2019-06-03 17:59:00.000,0,327.7,326.2,326.7,385.4,386.1,387.8,,,,
2019-06-03 18:00:00.000,0,321.1,322.4,323.1,385.3,386.3,387.9,,,,
2019-06-03 18:01:00.000,0,322.4,325.1,322.3,381.1,382.3,383.5,,,,
2019-06-03 18:02:00.000,0,324.1,329.8,324.2,381.8,382.3,384.4,,,,
2019-06-03 18:03:00.000,0,328.1,324.6,328.9,381.5,382,384,,,,
2019-06-03 18:04:00.000,0,320.2,324.5,323,381.4,383,384,,,,
2019-06-03 18:05:00.000,0,325,326.4,322.2,381.5,381.8,383.9,,,,
2019-06-03 18:06:00.000,0,327.7,323.8,330.1,381.5,382.4,383.8,,,,
2019-06-03 18:07:00.000,0,321.3,323.4,323.8,381.6,382.4,384.4,,,,
2019-06-03 18:08:00.000,0,320.2,327,321.8,381,382.5,383.4,,,,
2019-06-03 18:09:00.000,0,322.2,326,324.2,381.1,382.2,383.7,,,,
2019-06-03 18:10:00.000,0,324.5,322.1,322.7,380.8,382.1,383.2,,,,
2019-06-03 18:11:00.000,0,320.3,322.7,329.3,382,383.1,384.3,,,,
2019-06-03 18:12:00.000,0,327.1,322.5,329.4,381.5,382.5,384.4,,,,
2019-06-03 18:13:00.000,0,326.3,328.1,327.1,381.4,382.6,384.3,,,,
2019-06-03 18:14:00.000,0,320.7,328.3,328.3,380.7,381.7,383.9,,,,
2019-06-03 18:15:00.000,0,320.6,328.6,322.6,381.2,382,384,,,,
2019-06-03 18:16:00.000,0,326.1,327.9,329.2,382.4,383,384.7,,,,
2019-06-03 18:17:00.000,0,323.1,329.7,329.2,381.8,382.2,384.1,,,,
2019-06-03 18:18:00.000,0,320.6,322,322.5,381.5,382.8,384.3,,,,
2019-06-03 18:19:00.000,0,320.6,329.5,327.9,380.5,381.7,383.3,,,,
2019-06-03 18:20:00.000,0,326.7,326.3,327.7,380.3,381.6,382.8,,,,
2019-06-03 18:21:00.000,0,326,322.2,322,381.1,382.5,383.7,,,,
2019-06-03 18:22:00.000,0,326.9,326.2,326.5,381.6,382.1,384,,,,
2019-06-03 18:23:00.000,0,325,325.4,325.5,380.7,381.8,383.1,,,,
2019-06-03 18:24:00.000,0,324.6,328,328.2,381.2,382.3,383.6,,,,
2019-06-03 18:25:00.000,0,327.8,322.3,321.8,381.1,382.1,383.5,,,,
2019-06-03 18:26:00.000,0,326,324.8,323.3,380.8,381.8,383.4,,,,
2019-06-03 18:27:00.000,0,319.8,329,326.1,380.8,381.9,383.5,,,,
2019-06-03 18:28:00.000,0,320.7,329,329.9,380.5,381.4,382.9,,,,
2019-06-03 18:29:00.000,0,327.7,323.2,325.4,381.3,382.1,383.6,,,,
2019-06-03 18:30:00.000,0,327.4,323.9,322,381.2,382,383.4,,,,
2019-06-03 18:31:00.000,0,320.1,329.9,329.1,381,381.8,383.3,,,,
2019-06-03 18:32:00.000,0,327.4,322,325,380.8,382.1,383.3,,,,
2019-06-03 18:33:00.000,0,321.6,327.7,329.1,380.7,381.8,383.3,,,,
2019-06-03 18:34:00.000,0,320.5,324.8,327.9,381.4,381.9,383.4,,,,
2019-06-03 18:35:00.000,0,320.6,328.2,329.4,381.1,381.7,383,,,,
2019-06-03 18:36:00.000,0,323.1,328,322.7,381.2,381.9,383.2,,,,
2019-06-03 18:37:00.000,0,320.9,324.8,322.4,380.6,381.2,382.5,,,,
2019-06-03 18:38:00.000,0,326.5,324.7,324,380.6,381.4,382.6,,,,
2019-06-03 18:39:00.000,0,327,322.8,328.6,380.2,381.2,382.7,,,,
2019-06-03 18:40:00.000,0,326.3,323.2,323.6,380.3,381.3,382.5,,,,
2019-06-03 18:41:00.000,0,326.8,323.8,324.2,380.3,381.2,383.1,,,,
2019-06-03 18:42:00.000,0,326.3,323.4,329.5,379.9,381,382.5,,,,
2019-06-03 18:43:00.000,0,328.4,326.5,323.3,379.9,381,382.1,,,,
2019-06-03 18:44:00.000,0,322.8,322.2,326.7,380.6,381.2,383.1,,,,
2019-06-03 18:45:00.000,0,320.5,324.5,329.1,380.6,381.1,383,,,,
2019-06-03 18:46:00.000,0,326.2,324.7,328.7,380.7,381.3,383.1,,,,
2019-06-03 18:47:00.000,0,327.9,322.5,329.2,380.7,381.3,383.1,,,,
2019-06-03 18:48:00.000,0,322.3,328.6,323.8,379.9,381.1,382.1,,,,
2019-06-03 18:49:00.000,0,321.6,322.7,323.8,380.3,380.9,382.8,,,,
2019-06-03 18:50:00.000,0,321.6,326.1,324.4,380,381.4,382.4,,,,
2019-06-03 18:51:00.000,0,322,329.1,328,380.1,381.1,382.2,,,,
2019-06-03 18:52:00.000,0,321.7,323.8,322.2,379.7,380.8,381.8,,,,
2019-06-03 18:53:00.000,0,322.3,322,322.1,379.4,380.6,382.2,,,,
2019-06-03 18:54:00.000,0,320.5,322.2,324.9,380.1,381.1,382,,,,
2019-06-03 18:55:00.000,0,320.8,327.3,322.5,379,380.2,382.3,,,,
2019-06-03 18:56:00.000,0,326,329.2,321.9,379.2,380.1,382.3,,,,
2019-06-03 18:57:00.000,0,320.8,328.2,326.4,379.5,380.5,382.3,,,,
2019-06-03 18:58:00.000,0,327.9,325.6,329.3,379.9,381.2,382.1,,,,
2019-06-03 18:59:00.000,0,324.2,322.6,322.1,379.7,380.7,382.6,,,,
2019-06-03 19:00:00.000,0,326,322.3,328.5,379.8,381.1,382.4,,,,
2019-06-03 19:01:00.000,0,327.1,325.9,322.3,379.6,380.5,382.5,,,,
2019-06-03 19:02:00.000,0,328.5,323.1,323.8,379.9,380.7,382,,,,
2019-06-03 19:03:00.000,0,323.8,329,324.2,380,380.5,382.3,,,,
2019-06-03 19:04:00.000,0,323.7,324.1,328.9,379.8,380.7,382.3,,,,
2019-06-03 19:05:00.000,0,323.3,329.7,325.1,378.8,380.3,381.3,,,,
2019-06-03 19:06:00.000,0,323.6,323.2,327.6,378.9,380.3,381.4,,,,
2019-06-03 19:07:00.000,0,323.2,322.9,321.6,379.8,381.3,382.2,,,,
2019-06-03 19:08:00.000,0,326.4,327.6,324.5,380.2,381.2,382.5,,,,
2019-06-03 19:09:00.000,0,323.8,322.6,325.4,380.2,381.3,382.7,,,,
2019-06-03 19:10:00.000,0,320.6,324.9,322.9,379.6,380.8,381.6,,,,
2019-06-03 19:11:00.000,0,322.2,322.2,323,380.1,381.4,382.8,,,,
2019-06-03 19:12:00.000,0,321.5,325.3,326.8,378.8,381.1,382.7,,,,
2019-06-03 19:13:00.000,0,325,322.3,322.6,380.3,381.1,382.7,,,,
2019-06-03 19:14:00.000,0,320.8,329.1,328.7,381.5,383,384.3,,,,
2019-06-03 19:15:00.000,0,327.8,321.8,321.8,381.5,382.8,384.2,,,,
2019-06-03 19:16:00.000,0,325.5,323.5,323.4,380.3,382.5,383.4,,,,
2019-06-03 19:17:00.000,0,320.5,329.6,329.4,380,381.7,383,,,,
2019-06-03 19:18:00.000,0,320.5,326.2,325.2,380.2,382,383.5,,,,
2019-06-03 19:19:00.000,0,324.5,322.4,323.1,382.3,383.7,384.9,,,,
2019-06-03 19:20:00.000,0,320.4,326.4,329.4,381.6,382.7,383.4,,,,
2019-06-03 19:21:00.000,0,324.6,323.1,324.2,382.3,383.4,384.5,,,,
2019-06-03 19:22:00.000,0,320.4,329.8,322.6,384.9,386.5,387.9,,,,
2019-06-03 19:23:00.000,0,320.1,329.2,321.8,379.4,380.6,382.1,,,,
2019-06-03 19:24:00.000,0,324.9,327.8,321.8,376.3,377.6,378.7,,,,
2019-06-03 19:25:00.000,0,324.7,328.3,326.9,379.1,380.1,381.9,,,,
2019-06-03 19:26:00.000,0,324,322.9,323.4,376.4,377.7,379.2,,,,
2019-06-03 19:27:00.000,0,326.1,325.1,323.3,383.4,384.4,386,,,,
2019-06-03 19:28:00.000,0,319.8,323,324.8,383,384.5,385.6,,,,
2019-06-03 19:29:00.000,0,327.9,327.7,322.1,380.5,381.8,383.1,,,,
2019-06-03 19:30:00.000,0,321.4,326.2,328.8,380.8,382.7,383.3,,,,
2019-06-03 19:31:00.000,0,320,322.6,327,383,384.4,385.6,,,,
2019-06-03 19:32:00.000,0,324.5,325.1,327,382.9,384.6,385.8,,,,
2019-06-03 19:33:00.000,0,328.3,324.4,322.3,384.9,385.2,387.2,,,,
2019-06-03 19:34:00.000,0,320.9,322.6,322,382.7,384,385.7,,,,
2019-06-03 19:35:00.000,0,329.5,325.6,329.7,384,384.8,386.3,,,,
2019-06-03 19:36:00.000,0,324.7,324.7,323.2,383.7,384.8,386,,,,
2019-06-03 19:37:00.000,0,320.8,324,322.2,382,383.6,385.9,,,,
2019-06-03 19:38:00.000,0,320,323.2,322.1,381.8,383,385.1,,,,
2019-06-03 19:39:00.000,0,328,329.3,327.2,383,384.2,385.3,,,,
2019-06-03 19:40:00.000,0,323.4,329.1,329.5,194.5,384.5,385.4,,,,
2019-06-03 19:41:00.000,0,326.9,322.1,322.1,384.4,385.8,386.3,,,,
2019-06-03 19:42:00.000,0,326.9,322.1,321.9,381.9,383.1,385.1,,,,
2019-06-03 19:43:00.000,0,320.1,328.4,328.8,381.2,383,384.2,,,,
2019-06-03 19:44:00.000,0,327.8,325.2,324.8,384.8,386.7,387.2,,,,
2019-06-03 19:45:00.000,0,320.6,325.4,325.2,382.5,383.2,385.3,,,,
2019-06-03 19:46:00.000,0,324.4,328.2,322,383.5,385.3,386.3,,,,
