DataSavedTime,MilliSecond,Item001,Item002,Item003,Item004,Item005,Item006,Item007,Item008,Item009,Item010
2019-06-05 17:00:00.000,0,,,,,,,,,,
2019-06-05 17:01:00.000,0,,,,,,,,,,
2019-06-05 17:02:00.000,0,,,,,,,,,,
2019-06-05 17:03:00.000,0,,,,,,,,,,
2019-06-05 17:04:00.000,0,,,,,,,,,,
2019-06-05 17:05:00.000,0,,,,,,,,,,
2019-06-05 17:06:00.000,0,,,,,,,,,,
2019-06-05 17:07:00.000,0,,,,,,,,,,
2019-06-05 17:08:00.000,0,,,,,,,,,,
2019-06-05 17:09:00.000,0,,,,,,,,,,
2019-06-05 17:10:00.000,0,,,,,,,,,,
2019-06-05 17:11:00.000,0,,,,,,,,,,
2019-06-05 17:12:00.000,0,,,,,,,,,,
2019-06-05 17:13:00.000,0,,,,,,,,,,
2019-06-05 17:14:00.000,0,,,,,,,,,,
2019-06-05 17:15:00.000,0,,,,,,,,,,
2019-06-05 17:16:00.000,0,,,,,,,,,,
2019-06-05 17:17:00.000,0,,,,,,,,,,
2019-06-05 17:18:00.000,0,,,,,,,,,,
2019-06-05 17:19:00.000,0,,,,,,,,,,
2019-06-05 17:20:00.000,0,,,,2.09,2.06,,,,,
2019-06-05 17:21:00.000,0,1.59,,1.6,2.01,1.99,,,,,
2019-06-05 17:22:00.000,0,1.61,,1.6,1.95,1.93,,,,,
2019-06-05 17:23:00.000,0,,,1.6,1.97,1.93,,,,,
2019-06-05 17:24:00.000,0,,,1.59,1.95,1.95,,,,,
2019-06-05 17:25:00.000,0,1.6,,,1.97,1.96,,,,,
2019-06-05 17:26:00.000,0,1.59,1.56,1.58,1.96,1.93,,,,,
2019-06-05 17:27:00.000,0,1.6,,1.59,1.96,1.96,,,,,
2019-06-05 17:28:00.000,0,1.59,,1.58,1.96,1.93,,,,,
2019-06-05 17:29:00.000,0,1.59,,1.59,1.95,1.93,,,,,
2019-06-05 17:30:00.000,0,1.58,,1.6,1.95,1.92,,,,,
2019-06-05 17:31:00.000,0,1.59,,,1.95,1.95,,,,,
2019-06-05 17:32:00.000,0,1.59,1.57,1.59,1.95,1.95,,,,,
2019-06-05 17:33:00.000,0,1.59,,1.58,1.96,1.94,,,,,
2019-06-05 17:34:00.000,0,,1.59,1.57,1.97,1.94,,,,,
2019-06-05 17:35:00.000,0,,,,1.96,1.93,,,,,
2019-06-05 17:36:00.000,0,1.61,,,1.95,1.94,,,,,
2019-06-05 17:37:00.000,0,1.6,1.56,1.58,1.94,1.92,,,,,
2019-06-05 17:38:00.000,0,1.61,,1.59,1.95,1.92,,,,,
2019-06-05 17:39:00.000,0,1.58,,1.58,1.95,1.93,,,,,
2019-06-05 17:40:00.000,0,1.58,1.56,1.6,1.96,1.93,,,,,
2019-06-05 17:41:00.000,0,1.59,1.56,1.58,1.97,1.93,,,,,
2019-06-05 17:42:00.000,0,1.59,1.58,1.59,1.97,1.93,,,,,
2019-06-05 17:43:00.000,0,1.6,,1.59,1.95,1.94,,,,,
2019-06-05 17:44:00.000,0,1.61,1.57,1.59,1.96,1.93,,,,,
2019-06-05 17:45:00.000,0,1.61,,1.59,1.95,1.94,,,,,
2019-06-05 17:46:00.000,0,1.58,,1.56,1.96,1.95,,,,,
2019-06-05 17:47:00.000,0,1.6,,1.59,1.91,1.87,,,,,
2019-06-05 17:48:00.000,0,1.6,1.57,1.59,1.91,1.87,,,,,
2019-06-05 17:49:00.000,0,1.58,,1.59,1.92,1.89,,,,,
2019-06-05 17:50:00.000,0,,1.56,,1.92,1.9,,,,,
2019-06-05 17:51:00.000,0,1.59,,1.57,1.93,1.92,,,,,
2019-06-05 17:52:00.000,0,1.6,1.58,1.57,1.93,1.9,,,,,
2019-06-05 17:53:00.000,0,,1.56,1.57,1.94,1.9,,,,,
2019-06-05 17:54:00.000,0,1.6,1.57,1.57,1.93,1.89,,,,,
2019-06-05 17:55:00.000,0,1.59,1.57,1.58,1.93,1.92,,,,,
2019-06-05 17:56:00.000,0,1.59,1.56,1.59,1.92,1.92,,,,,
2019-06-05 17:57:00.000,0,1.6,,1.58,1.92,1.9,,,,,
2019-06-05 17:58:00.000,0,1.58,,,1.93,1.89,,,,,
2019-06-05 17:59:00.000,0,1.59,1.57,1.57,1.94,1.91,,,,,
2019-06-05 18:00:00.000,0,1.58,,1.57,1.92,1.91,,,,,
2019-06-05 18:01:00.000,0,1.6,1.55,1.59,1.88,1.87,,,,,
2019-06-05 18:02:00.000,0,,1.57,,1.89,1.87,,,,,
2019-06-05 18:03:00.000,0,1.59,,1.57,1.89,1.88,,,,,
2019-06-05 18:04:00.000,0,1.62,1.57,1.59,1.89,1.86,,,,,
2019-06-05 18:05:00.000,0,1.64,1.55,1.57,1.89,1.87,,,,,
2019-06-05 18:06:00.000,0,1.61,,1.59,1.9,1.88,,,,,
2019-06-05 18:07:00.000,0,,1.55,1.57,1.91,1.88,,,,,
2019-06-05 18:08:00.000,0,1.62,1.57,1.57,1.91,1.88,,,,,
2019-06-05 18:09:00.000,0,1.59,1.56,1.57,1.9,1.88,,,,,
2019-06-05 18:10:00.000,0,1.58,,,1.89,1.87,,,,,
2019-06-05 18:11:00.000,0,1.59,1.56,1.59,1.89,1.87,,,,,
2019-06-05 18:12:00.000,0,,,1.57,1.91,1.88,,,,,
2019-06-05 18:13:00.000,0,1.58,1.55,1.58,1.92,1.88,,,,,
2019-06-05 18:14:00.000,0,1.6,1.56,1.59,1.91,1.88,,,,,
2019-06-05 18:15:00.000,0,1.59,1.56,,1.9,1.89,,,,,
2019-06-05 18:16:00.000,0,1.6,,1.58,1.87,1.86,,,,,
2019-06-05 18:17:00.000,0,1.58,1.55,1.57,1.87,1.86,,,,,
2019-06-05 18:18:00.000,0,1.58,,1.57,1.91,1.87,,,,,
2019-06-05 18:19:00.000,0,1.58,,1.58,1.91,1.85,,,,,
2019-06-05 18:20:00.000,0,1.58,1.55,1.58,1.89,1.87,,,,,
2019-06-05 18:21:00.000,0,1.6,1.55,1.57,1.88,1.87,,,,,
2019-06-05 18:22:00.000,0,1.58,,,1.87,1.87,,,,,
2019-06-05 18:23:00.000,0,1.6,,1.58,1.88,1.87,,,,,
2019-06-05 18:24:00.000,0,1.59,1.56,1.59,1.91,1.87,,,,,
2019-06-05 18:25:00.000,0,1.59,,1.58,1.88,1.85,,,,,
2019-06-05 18:26:00.000,0,1.61,,,1.89,1.86,,,,,
2019-06-05 18:27:00.000,0,1.59,1.56,1.57,1.88,1.85,,,,,
2019-06-05 18:28:00.000,0,1.59,1.57,1.58,1.9,1.87,,,,,
2019-06-05 18:29:00.000,0,1.6,1.55,1.58,1.88,1.87,,,,,
2019-06-05 18:30:00.000,0,1.59,1.57,1.56,1.88,1.87,,,,,
2019-06-05 18:31:00.000,0,1.59,,,1.91,1.87,,,,,
2019-06-05 18:32:00.000,0,1.58,1.57,1.59,1.88,1.86,,,,,
2019-06-05 18:33:00.000,0,1.59,,1.6,1.89,1.87,,,,,
2019-06-05 18:34:00.000,0,1.59,1.55,1.58,1.91,1.87,,,,,
2019-06-05 18:35:00.000,0,1.59,1.56,1.57,1.88,1.87,,,,,
2019-06-05 18:36:00.000,0,1.59,1.56,1.59,1.89,1.87,,,,,
