DataSavedTime,MilliSecond,Item001,Item002,Item003,Item004,Item005,Item006,Item007,Item008,Item009,Item010
2019-06-11 17:00:00.000,0,,,,,,,,,,
2019-06-11 17:01:00.000,0,,,,,,,,,,
2019-06-11 17:02:00.000,0,,,,,,,,,,
2019-06-11 17:03:00.000,0,,,,,,,,,,
2019-06-11 17:04:00.000,0,,,,,,,,,,
2019-06-11 17:05:00.000,0,,,,,,,,,,
2019-06-11 17:06:00.000,0,,,,,,,,,,
2019-06-11 17:07:00.000,0,,,,,,,,,,
2019-06-11 17:08:00.000,0,,,,,,,,,,
2019-06-11 17:09:00.000,0,,,,,,,,,,
2019-06-11 17:10:00.000,0,,,,,,,,,,
2019-06-11 17:11:00.000,0,,,,,,,,,,
2019-06-11 17:12:00.000,0,,,,,,,,,,
2019-06-11 17:13:00.000,0,,,,,,,,,,
2019-06-11 17:14:00.000,0,,,,,,,,,,
2019-06-11 17:15:00.000,0,,,,,,,,,,
2019-06-11 17:16:00.000,0,,,,,,,,,,
2019-06-11 17:17:00.000,0,,,,,,,,,,
2019-06-11 17:18:00.000,0,,,,,,,,,,
2019-06-11 17:19:00.000,0,,,,,,,,,,
2019-06-11 17:20:00.000,0,,,,389.4,390.3,391.5,,,,
2019-06-11 17:21:00.000,0,324.2,325.9,325.4,383.1,383.8,385,,,,
2019-06-11 17:22:00.000,0,324.4,325.9,325.5,380.3,381,382.3,,,,
2019-06-11 17:23:00.000,0,324.3,326.1,325.5,380.6,381,382.3,,,,
2019-06-11 17:24:00.000,0,324.5,325.9,325.6,381,381.4,382.7,,,,
2019-06-11 17:25:00.000,0,324.6,325.8,325.6,380.9,381.4,382.7,,,,
2019-06-11 17:26:00.000,0,324.1,325.9,325.3,381.9,382.3,383.4,,,,
2019-06-11 17:27:00.000,0,324.5,325.9,325.7,381.4,382.1,383.3,,,,
2019-06-11 17:28:00.000,0,324.3,325.9,325.4,382.5,383.1,384.2,,,,
2019-06-11 17:29:00.000,0,324.2,326,325.5,381.9,382.2,383.6,,,,
2019-06-11 17:30:00.000,0,324.3,325.8,325.5,382.1,382.6,383.8,,,,
2019-06-11 17:31:00.000,0,324.1,326,325.5,381.8,382.2,383.4,,,,
2019-06-11 17:32:00.000,0,323.7,326,325.8,380.9,381.4,382.6,,,,
2019-06-11 17:33:00.000,0,324.5,325.9,325.5,380.8,381.3,382.5,,,,
2019-06-11 17:34:00.000,0,323.9,326,325.6,380.3,380.8,382,,,,
2019-06-11 17:35:00.000,0,324.5,325.9,325.5,380.7,381.2,382.5,,,,
2019-06-11 17:36:00.000,0,324.4,326,325.6,380.4,380.8,382.1,,,,
2019-06-11 17:37:00.000,0,324.1,325.7,325.4,380.3,380.8,382.2,,,,
2019-06-11 17:38:00.000,0,324.2,325.9,325.4,380.2,380.6,381.8,,,,
2019-06-11 17:39:00.000,0,324.3,325.9,325.5,381.2,381.5,382.8,,,,
2019-06-11 17:40:00.000,0,324.1,326,325.3,381,381.5,382.8,,,,
2019-06-11 17:41:00.000,0,324.6,325.9,325.4,382,382.3,383.5,,,,
2019-06-11 17:42:00.000,0,324.7,326,325.4,382,382.6,383.8,,,,
2019-06-11 17:43:00.000,0,324.3,325.8,325.4,381.7,382,383.3,,,,
2019-06-11 17:44:00.000,0,324,326.1,325.4,382.5,382.7,383.9,,,,
2019-06-11 17:45:00.000,0,323.9,325.9,325.6,382.6,383.1,384.3,,,,
2019-06-11 17:46:00.000,0,324.2,326.1,325.2,382.6,383.3,384.3,,,,
2019-06-11 17:47:00.000,0,324.4,326.4,325.6,382.7,383.2,384.4,,,,
2019-06-11 17:48:00.000,0,323.8,326.1,325.6,382.7,383.4,384.5,,,,
2019-06-11 17:49:00.000,0,324.2,326.4,325.4,383,383.5,384.7,,,,
2019-06-11 17:50:00.000,0,324.1,326.2,325.5,382.9,383.4,384.7,,,,
2019-06-11 17:51:00.000,0,324.4,326,325.5,383.5,383.9,385.1,,,,
2019-06-11 17:52:00.000,0,324.6,326,325.6,383.1,383.5,384.7,,,,
2019-06-11 17:53:00.000,0,324.5,326.1,325.6,383.1,383.7,384.8,,,,
2019-06-11 17:54:00.000,0,324.5,326.1,325.5,383.5,384.2,385.2,,,,
2019-06-11 17:55:00.000,0,324.4,326.2,325.4,383.9,384.4,385.4,,,,
2019-06-11 17:56:00.000,0,324.6,326.1,325.5,384.5,384.9,386.1,,,,
2019-06-11 17:57:00.000,0,324.8,326.1,325.6,384.5,384.9,386.1,,,,
2019-06-11 17:58:00.000,0,324.3,326.2,325.8,384.6,385.2,386.1,,,,
2019-06-11 17:59:00.000,0,324.5,326.2,325.7,384.8,385.4,386.5,,,,
2019-06-11 18:00:00.000,0,324.5,326,325.7,385,385.6,386.7,,,,
2019-06-11 18:01:00.000,0,324.8,326.4,325.5,384.6,385.2,386.2,,,,
2019-06-11 18:02:00.000,0,324.2,326.1,325.6,383.9,384.6,385.7,,,,
2019-06-11 18:03:00.000,0,324.5,326.2,325.7,384.4,385.1,386.1,,,,
2019-06-11 18:04:00.000,0,324.4,326,325.9,384.3,384.8,385.9,,,,
2019-06-11 18:05:00.000,0,324.6,326.1,325.5,384.4,384.9,386,,,,
2019-06-11 18:06:00.000,0,324.6,326,325.7,384.4,385,386,,,,
2019-06-11 18:07:00.000,0,324.3,326,325.7,384.3,384.9,385.9,,,,
2019-06-11 18:08:00.000,0,324.4,326,325.7,383.8,384.5,385.6,,,,
2019-06-11 18:09:00.000,0,324.7,326,325.7,383.8,384.6,385.6,,,,
2019-06-11 18:10:00.000,0,324.6,326.1,325.7,384.2,384.9,386,,,,
2019-06-11 18:11:00.000,0,324.7,326.2,325.8,384.4,384.9,386,,,,
2019-06-11 18:12:00.000,0,324.7,326,325.5,384,384.7,385.8,,,,
2019-06-11 18:13:00.000,0,324.5,326.2,325.6,384.1,384.6,385.6,,,,
2019-06-11 18:14:00.000,0,324.5,326.2,325.5,384.3,384.7,385.8,,,,
2019-06-11 18:15:00.000,0,324.5,326.2,325.6,383.6,384.1,385.1,,,,
2019-06-11 18:16:00.000,0,324.7,326.2,325.7,383.6,384.3,385.3,,,,
2019-06-11 18:17:00.000,0,324.6,326.1,325.7,383.8,384.5,385.6,,,,
2019-06-11 18:18:00.000,0,324.7,326.2,325.9,384.4,385.2,386.2,,,,
2019-06-11 18:19:00.000,0,324.5,326.3,325.6,384.1,384.7,385.7,,,,
2019-06-11 18:20:00.000,0,324.6,326.3,325.9,384.2,384.6,385.7,,,,
2019-06-11 18:21:00.000,0,324.7,326.1,325.6,382.7,383.2,384.2,,,,
2019-06-11 18:22:00.000,0,324.5,326,325.6,382.8,383.2,384.2,,,,
2019-06-11 18:23:00.000,0,324.3,326,325.6,382.6,383.1,384.2,,,,
2019-06-11 18:24:00.000,0,324.5,325.8,325.5,382.1,382.6,383.6,,,,
2019-06-11 18:25:00.000,0,324.5,326.3,325.8,382.6,383.1,384.1,,,,
2019-06-11 18:26:00.000,0,324.3,326.2,325.6,382.8,383.2,384.2,,,,
2019-06-11 18:27:00.000,0,324.6,325.9,325.6,382.4,383,383.9,,,,
2019-06-11 18:28:00.000,0,324.4,326.1,325.7,382.7,383.4,384.4,,,,
2019-06-11 18:29:00.000,0,324.7,326,325.5,382.4,383.1,384.2,,,,
2019-06-11 18:30:00.000,0,324.2,326,325.5,382.8,383.4,384.4,,,,
2019-06-11 18:31:00.000,0,324.6,326.1,325.6,382.4,383,384,,,,
2019-06-11 18:32:00.000,0,324.4,325.9,325.6,382.7,383.3,384.2,,,,
2019-06-11 18:33:00.000,0,324.5,326.1,325.6,382.1,382.7,383.7,,,,
2019-06-11 18:34:00.000,0,324.4,326,325.6,382.7,383,384.1,,,,
2019-06-11 18:35:00.000,0,324.5,325.8,325.7,382.5,383.1,384,,,,
2019-06-11 18:36:00.000,0,324.7,326.1,325.5,382.6,383.2,384.1,,,,
2019-06-11 18:37:00.000,0,324.5,326.2,325.8,382.8,383.4,384.4,,,,
2019-06-11 18:38:00.000,0,324.6,326,325.7,382.5,383.1,384.1,,,,
2019-06-11 18:39:00.000,0,324.5,326.1,325.7,382.9,383.6,384.5,,,,
2019-06-11 18:40:00.000,0,323.9,326.3,325.6,382.6,383.2,384.2,,,,
2019-06-11 18:41:00.000,0,324.5,326,325.7,383.1,383.7,384.7,,,,
2019-06-11 18:42:00.000,0,324.5,326.2,325.6,383.3,383.8,384.8,,,,
2019-06-11 18:43:00.000,0,325.2,326,325.6,383,383.5,384.4,,,,
2019-06-11 18:44:00.000,0,324.5,326.1,325.8,383.3,383.8,384.8,,,,
2019-06-11 18:45:00.000,0,324.5,326.3,325.6,383,383.8,384.8,,,,
2019-06-11 18:46:00.000,0,324.2,326.3,325.8,383.3,384,385.1,,,,
2019-06-11 18:47:00.000,0,324.6,326.1,325.6,382.6,383.2,384.2,,,,
2019-06-11 18:48:00.000,0,324.2,326,325.5,382.7,383.6,384.6,,,,
2019-06-11 18:49:00.000,0,324.3,326.1,325.4,383.1,383.6,384.7,,,,
2019-06-11 18:50:00.000,0,323.7,325.9,325.6,382.9,383.4,384.4,,,,
2019-06-11 18:51:00.000,0,324.1,326.3,325.5,383.1,383.7,384.7,,,,
2019-06-11 18:52:00.000,0,324.6,326.1,325.2,383.3,383.8,384.9,,,,
2019-06-11 18:53:00.000,0,323.9,326.2,325.5,383.1,383.7,384.7,,,,
2019-06-11 18:54:00.000,0,324.6,325.7,325.6,383.1,383.6,384.6,,,,
2019-06-11 18:55:00.000,0,325.5,326.2,325.7,383.3,383.8,384.8,,,,
2019-06-11 18:56:00.000,0,324.5,326.1,325.7,382.8,383.3,384.3,,,,
2019-06-11 18:57:00.000,0,324.4,326.1,325.5,382.2,382.8,383.9,,,,
2019-06-11 18:58:00.000,0,324.6,326.2,325.9,382.8,383.4,384.4,,,,
2019-06-11 18:59:00.000,0,324.7,326.1,325.6,382.9,383.5,384.5,,,,
2019-06-11 19:00:00.000,0,324.6,326,325.4,382.3,382.9,383.9,,,,
2019-06-11 19:01:00.000,0,325.1,326.2,325.5,382.9,383.4,384.4,,,,
2019-06-11 19:02:00.000,0,324.4,326.3,325.7,382.7,383.2,384.3,,,,
2019-06-11 19:03:00.000,0,324.4,325.9,325.7,382,382.5,383.6,,,,
2019-06-11 19:04:00.000,0,324.1,326.1,325.6,382.8,383.3,384.3,,,,
2019-06-11 19:05:00.000,0,323.9,326.1,325.6,382.5,383.1,384.2,,,,
2019-06-11 19:06:00.000,0,324.4,325.7,325.5,383.4,384,385,,,,
2019-06-11 19:07:00.000,0,324.3,326.1,325.7,385.4,385.8,387,,,,
2019-06-11 19:08:00.000,0,324.5,326.1,325.8,384.8,385.4,386.4,,,,
2019-06-11 19:09:00.000,0,324.6,326,325.8,385.4,385.9,387,,,,
2019-06-11 19:10:00.000,0,323.8,326.1,325.7,385.6,386.1,387.2,,,,
2019-06-11 19:11:00.000,0,323.6,326.3,326.1,383.7,384.2,385.3,,,,
2019-06-11 19:12:00.000,0,323.7,326.1,325.6,387,387.7,388.8,,,,
2019-06-11 19:13:00.000,0,324.1,325.9,325.5,385.4,386,387.1,,,,
2019-06-11 19:14:00.000,0,324,325.9,325.7,384.4,384.8,385.9,,,,
2019-06-11 19:15:00.000,0,324.3,325.9,325.2,386.2,386.7,387.8,,,,
2019-06-11 19:16:00.000,0,324.4,326.1,325.5,12.3,387.1,388.1,,,,
2019-06-11 19:17:00.000,0,324.2,325.8,325.6,385.5,386.2,387.3,,,,
2019-06-11 19:18:00.000,0,324.1,325.8,325.2,385.1,386.1,387.1,,,,
2019-06-11 19:19:00.000,0,324.6,326.1,325.9,385.6,386.1,387.3,,,,
2019-06-11 19:20:00.000,0,324.4,325.8,325.4,384.1,385,386.3,,,,
2019-06-11 19:21:00.000,0,323.8,325.7,325.6,384.8,385.3,386.4,,,,
2019-06-11 19:22:00.000,0,324.8,326.2,325.5,385.8,386.2,387.5,,,,
2019-06-11 19:23:00.000,0,324.3,325.9,325.2,385.1,385.6,386.6,,,,
2019-06-11 19:24:00.000,0,324.4,325.8,325.4,385.4,385.6,386,,,,
2019-06-11 19:25:00.000,0,324.2,325.9,325.4,386.2,387,387.9,,,,
2019-06-11 19:26:00.000,0,324.3,326.1,325.5,383.8,384.1,385.4,,,,
2019-06-11 19:27:00.000,0,324.2,325.8,325.7,387.1,387.4,388.9,,,,
2019-06-11 19:28:00.000,0,323.4,325.8,325.7,386.6,387.1,388.3,,,,
2019-06-11 19:29:00.000,0,324.3,325.5,325.6,385.4,386,387,,,,
2019-06-11 19:30:00.000,0,325.9,326,325.6,385.6,386.2,387.3,,,,
2019-06-11 19:31:00.000,0,324.4,326,325.6,385.9,386.5,387.6,,,,
2019-06-11 19:32:00.000,0,324.8,325.9,325.7,384.6,385.2,386.3,,,,
2019-06-11 19:33:00.000,0,323.7,326.2,325.9,383.6,384.2,385.3,,,,
2019-06-11 19:34:00.000,0,324.8,325.9,325.6,385.5,387.4,388.5,,,,
2019-06-11 19:35:00.000,0,324.8,325.9,325.3,385,385.9,386.7,,,,
2019-06-11 19:36:00.000,0,323.5,325.9,325.8,386.4,387.2,387.1,,,,
2019-06-11 19:37:00.000,0,324,326,325.7,385.4,386,387.1,,,,
2019-06-11 19:38:00.000,0,324.1,326,325.5,385.9,386.4,387.5,,,,
2019-06-11 19:39:00.000,0,324.9,325.7,325.7,386.3,386.8,388,,,,
2019-06-11 19:40:00.000,0,324.4,326,325.7,387,387.5,388.7,,,,
2019-06-11 19:41:00.000,0,324.5,325.5,325.4,386.3,387.1,388.1,,,,
2019-06-11 19:42:00.000,0,324.5,325.6,325.5,387.1,387.9,388.9,,,,
2019-06-11 19:43:00.000,0,323.3,326.1,325.5,387,387.7,388.8,,,,
2019-06-11 19:44:00.000,0,324.1,325.7,325.5,385.8,386.9,387.7,,,,
2019-06-11 19:45:00.000,0,324.4,325.8,325.8,386.5,387.3,388.2,,,,
2019-06-11 19:46:00.000,0,324.3,326.1,325.2,384.8,385.3,386.5,,,,
2019-06-11 19:47:00.000,0,323.2,326,325.3,386.9,387.4,388.4,,,,
2019-06-11 19:48:00.000,0,324.3,326.1,325.4,386.6,387.1,388.4,,,,
2019-06-11 19:49:00.000,0,324.6,326,325.3,384.4,384.6,385.8,,,,
2019-06-11 19:50:00.000,0,324.6,325.8,325.3,387.5,387.9,389.4,,,,
2019-06-11 19:51:00.000,0,324.6,326.2,325.8,387.3,388.1,389.1,,,,
2019-06-11 19:52:00.000,0,185.3,326,325.3,385.7,386.2,387.3,,,,
2019-06-11 19:53:00.000,0,324.6,326.1,325.6,386.1,386.8,387.8,,,,
2019-06-11 19:54:00.000,0,324.4,326.2,325.6,386.2,386.6,388.1,,,,
2019-06-11 19:55:00.000,0,324.1,325.8,325.7,383.6,384.1,385.2,,,,
2019-06-11 19:56:00.000,0,324.6,326.1,325.7,385.7,386.4,388.5,,,,
2019-06-11 19:57:00.000,0,324.4,325.9,325.4,384.1,384.7,,,,,
2019-06-11 19:58:00.000,0,324.8,325.9,325.7,378.5,379.2,380.1,,,,
2019-06-11 19:59:00.000,0,324.7,326.2,325.7,376.6,377.2,378.1,,,,
2019-06-11 20:00:00.000,0,324.6,326.2,325.7,376.4,377.1,378.1,,,,
2019-06-11 20:01:00.000,0,324.7,326.1,325.9,376,376.6,377.6,,,,
2019-06-11 20:02:00.000,0,324.7,326.2,325.7,386.5,387,387.4,,,,
2019-06-11 20:03:00.000,0,324.7,326,325.6,384.3,385,386,,,,
2019-06-11 20:04:00.000,0,324.4,325.8,325.6,384.6,385.4,386.5,,,,
2019-06-11 20:05:00.000,0,324.6,326.1,325.7,385.8,386.3,387.4,,,,
2019-06-11 20:06:00.000,0,324.8,325.8,325.9,386.2,386.7,387.7,,,,
2019-06-11 20:07:00.000,0,324.7,326.2,325.8,385.1,385.8,386.7,,,,
2019-06-11 20:08:00.000,0,324.4,326.1,325.5,383.5,384.3,385.1,,,,
2019-06-11 20:09:00.000,0,324.6,325.9,325.5,384.3,385,386,,,,
2019-06-11 20:10:00.000,0,324.5,326,325.6,384.2,384.7,385.8,,,,
2019-06-11 20:11:00.000,0,324.4,326,325.4,384.5,385.3,386.2,,,,
2019-06-11 20:12:00.000,0,324.6,326,325.4,383.2,383.7,384.7,,,,
2019-06-11 20:13:00.000,0,324.5,326,325.6,385.2,385.6,386.6,,,,
2019-06-11 20:14:00.000,0,324.5,325.9,325.5,383.7,384.2,385.3,,,,
2019-06-11 20:15:00.000,0,324.5,326,325.8,381.6,382,383.4,,,,
2019-06-11 20:16:00.000,0,324.7,326.1,325.7,381.5,382.1,383.1,,,,
2019-06-11 20:17:00.000,0,325,326.3,325.8,380.3,380.9,381.8,,,,
2019-06-11 20:18:00.000,0,324.7,326,325.9,380,380.7,381.8,,,,
2019-06-11 20:19:00.000,0,325.1,326.1,325.9,380.3,380.6,381.9,,,,
2019-06-11 20:20:00.000,0,324.9,326.1,325.8,380.6,381.3,382.3,,,,
2019-06-11 20:21:00.000,0,324.9,326.1,326.3,381.1,381.9,382.8,,,,
2019-06-11 20:22:00.000,0,324.7,326,325.5,381.4,382,383,,,,
2019-06-11 20:23:00.000,0,324.4,325.9,325.4,381.9,382.6,383.6,,,,
2019-06-11 20:24:00.000,0,324.8,326.2,325.6,382,382.6,383.6,,,,
2019-06-11 20:25:00.000,0,324.9,325.9,325.8,381.1,381.9,382.7,,,,
2019-06-11 20:26:00.000,0,324.8,326.2,325.7,380.9,382,382.5,,,,
2019-06-11 20:27:00.000,0,324.7,326.1,326,382.1,382.7,383.7,,,,
2019-06-11 20:28:00.000,0,324.7,326.2,325.4,382.3,382.8,383.9,,,,
2019-06-11 20:29:00.000,0,324.6,326,325.7,383.1,383.8,384.7,,,,
2019-06-11 20:30:00.000,0,324.8,326,325.6,383.4,384,385.1,,,,
2019-06-11 20:31:00.000,0,324.5,326,325.4,384.2,384.6,385.5,,,,
2019-06-11 20:32:00.000,0,324.6,326,325.5,383.8,383.8,384.8,,,,
2019-06-11 20:33:00.000,0,324.8,326,325.7,382.2,382.7,383.8,,,,
2019-06-11 20:34:00.000,0,324.9,326,325.6,382.5,383.2,384.1,,,,
2019-06-11 20:35:00.000,0,324.7,325.5,325.6,382.7,383.5,384.4,,,,
2019-06-11 20:36:00.000,0,324.7,326,325.8,381.1,381.7,382.6,,,,
2019-06-11 20:37:00.000,0,324.4,326,325.9,384.5,385,386,,,,
2019-06-11 20:38:00.000,0,324.9,326.3,325.7,385.4,386.1,387,,,,
2019-06-11 20:39:00.000,0,324.4,326,325.5,383.1,383.8,385,,,,
2019-06-11 20:40:00.000,0,324.8,326.3,325.8,384.2,384.8,385.9,,,,
