DataSavedTime,MilliSecond,Item001,Item002,Item003,Item004,Item005,Item006,Item007,Item008,Item009,Item010
2019-06-13 17:00:00.000,0,,,,,,,,,,
2019-06-13 17:01:00.000,0,,,,,,,,,,
2019-06-13 17:02:00.000,0,,,,,,,,,,
2019-06-13 17:03:00.000,0,,,,,,,,,,
2019-06-13 17:04:00.000,0,,,,,,,,,,
2019-06-13 17:05:00.000,0,,,,,,,,,,
2019-06-13 17:06:00.000,0,,,,,,,,,,
2019-06-13 17:07:00.000,0,,,,,,,,,,
2019-06-13 17:08:00.000,0,,,,,,,,,,
2019-06-13 17:09:00.000,0,,,,,,,,,,
2019-06-13 17:10:00.000,0,,,,,,,,,,
2019-06-13 17:11:00.000,0,,,,,,,,,,
2019-06-13 17:12:00.000,0,,,,,,,,,,
2019-06-13 17:13:00.000,0,,,,,,,,,,
2019-06-13 17:14:00.000,0,,,,,,,,,,
2019-06-13 17:15:00.000,0,,,,,,,,,,
2019-06-13 17:16:00.000,0,,,,,,,,,,
2019-06-13 17:17:00.000,0,,,,,,,,,,
2019-06-13 17:18:00.000,0,,,,,,,,,,
2019-06-13 17:19:00.000,0,,,,,,,,,,
2019-06-13 17:20:00.000,0,,,,,,,,,,
2019-06-13 17:21:00.000,0,,,,,,,,,,
2019-06-13 17:22:00.000,0,,,,,,,,,,
2019-06-13 17:23:00.000,0,2.76,2.72,2.7,2.84,2.81,2.84,,,,
2019-06-13 17:24:00.000,0,2.97,2.63,2.75,2.83,2.8,2.77,,,,
2019-06-13 17:25:00.000,0,3.05,2.78,2.87,2.84,2.81,2.82,,,,
2019-06-13 17:26:00.000,0,2.82,2.87,2.85,2.86,2.81,2.77,,,,
2019-06-13 17:27:00.000,0,2.85,2.9,2.69,2.84,2.82,2.79,,,,
2019-06-13 17:28:00.000,0,3,2.68,2.95,2.86,2.82,2.77,,,,
2019-06-13 17:29:00.000,0,3.03,2.78,2.92,2.84,2.79,2.76,,,,
2019-06-13 17:30:00.000,0,2.71,2.88,2.96,2.84,2.81,2.79,,,,
2019-06-13 17:31:00.000,0,3,2.72,2.66,2.83,2.8,2.82,,,,
2019-06-13 17:32:00.000,0,3,2.92,2.96,2.83,2.81,2.81,,,,
2019-06-13 17:33:00.000,0,2.9,2.88,2.76,2.82,2.79,2.75,,,,
2019-06-13 17:34:00.000,0,2.8,2.82,2.98,2.85,2.8,2.77,,,,
2019-06-13 17:35:00.000,0,2.97,2.86,2.72,2.84,2.78,2.8,,,,
2019-06-13 17:36:00.000,0,2.87,2.7,2.73,2.77,2.76,2.73,,,,
2019-06-13 17:37:00.000,0,3.03,2.66,2.79,2.78,2.79,2.76,,,,
2019-06-13 17:38:00.000,0,2.86,2.85,2.96,2.78,2.78,2.75,,,,
2019-06-13 17:39:00.000,0,2.89,2.72,2.88,2.82,2.79,2.77,,,,
2019-06-13 17:40:00.000,0,2.85,2.68,2.9,2.83,2.78,2.77,,,,
2019-06-13 17:41:00.000,0,3.02,2.68,2.81,2.82,2.76,2.75,,,,
2019-06-13 17:42:00.000,0,2.75,2.91,2.93,2.83,2.79,2.76,,,,
2019-06-13 17:43:00.000,0,2.75,2.92,2.75,2.84,2.79,2.82,,,,
2019-06-13 17:44:00.000,0,2.98,2.91,2.77,2.84,2.81,2.8,,,,
2019-06-13 17:45:00.000,0,2.9,2.81,2.88,2.89,2.87,2.83,,,,
2019-06-13 17:46:00.000,0,2.85,2.86,2.9,2.88,2.84,2.83,,,,
2019-06-13 17:47:00.000,0,2.83,2.77,2.67,2.86,2.83,2.82,,,,
2019-06-13 17:48:00.000,0,2.99,2.93,2.97,2.87,2.88,2.82,,,,
2019-06-13 17:49:00.000,0,2.92,2.75,2.83,2.9,2.86,2.85,,,,
2019-06-13 17:50:00.000,0,2.75,2.68,2.91,2.9,2.86,2.83,,,,
2019-06-13 17:51:00.000,0,2.83,2.85,2.72,2.85,2.78,2.8,,,,
2019-06-13 17:52:00.000,0,2.8,2.75,2.96,2.84,2.77,2.75,,,,
2019-06-13 17:53:00.000,0,2.92,2.81,2.86,2.85,2.78,2.77,,,,
2019-06-13 17:54:00.000,0,2.79,2.78,2.71,2.84,2.79,2.8,,,,
2019-06-13 17:55:00.000,0,2.81,2.9,2.76,2.84,2.79,2.77,,,,
2019-06-13 17:56:00.000,0,2.78,2.82,2.66,2.83,2.79,2.79,,,,
2019-06-13 17:57:00.000,0,2.83,2.77,2.95,2.84,2.81,2.77,,,,
2019-06-13 17:58:00.000,0,2.9,2.91,2.76,2.85,2.81,2.77,,,,
2019-06-13 17:59:00.000,0,2.78,2.86,2.92,2.88,2.83,2.83,,,,
2019-06-13 18:00:00.000,0,2.89,2.71,2.8,2.86,2.79,2.8,,,,
2019-06-13 18:01:00.000,0,2.72,2.78,2.67,2.86,2.82,2.83,,,,
2019-06-13 18:02:00.000,0,2.92,2.76,2.7,2.85,2.83,2.81,,,,
2019-06-13 18:03:00.000,0,2.77,2.92,2.81,2.85,2.84,2.83,,,,
2019-06-13 18:04:00.000,0,2.93,2.92,2.86,2.85,2.83,2.81,,,,
2019-06-13 18:05:00.000,0,3.01,2.81,2.71,2.86,2.81,2.82,,,,
2019-06-13 18:06:00.000,0,2.72,2.9,2.77,2.87,2.81,2.81,,,,
2019-06-13 18:07:00.000,0,2.96,2.85,2.96,2.86,2.82,2.82,,,,
2019-06-13 18:08:00.000,0,2.77,2.91,2.87,2.84,2.82,2.8,,,,
2019-06-13 18:09:00.000,0,2.75,2.83,2.91,2.85,2.81,2.81,,,,
2019-06-13 18:10:00.000,0,2.96,2.9,2.72,2.86,2.82,2.81,,,,
2019-06-13 18:11:00.000,0,3.07,2.76,2.75,2.87,2.82,2.8,,,,
2019-06-13 18:12:00.000,0,3,2.71,2.68,2.85,2.82,2.83,,,,
2019-06-13 18:13:00.000,0,2.97,2.76,2.79,2.85,2.82,2.8,,,,
2019-06-13 18:14:00.000,0,2.83,2.66,2.71,2.87,2.84,2.82,,,,
2019-06-13 18:15:00.000,0,2.79,2.82,2.92,2.86,2.83,2.8,,,,
2019-06-13 18:16:00.000,0,2.99,2.65,2.7,2.86,2.83,2.83,,,,
2019-06-13 18:17:00.000,0,3.09,2.72,2.67,2.88,2.82,2.81,,,,
2019-06-13 18:18:00.000,0,3.01,2.73,2.87,2.87,2.83,2.83,,,,
2019-06-13 18:19:00.000,0,2.78,2.76,2.71,2.85,2.84,2.79,,,,
2019-06-13 18:20:00.000,0,2.88,2.78,2.76,2.86,2.81,2.83,,,,
2019-06-13 18:21:00.000,0,2.86,2.75,2.91,2.89,2.84,2.82,,,,
2019-06-13 18:22:00.000,0,2.73,2.92,2.8,2.86,2.86,2.83,,,,
2019-06-13 18:23:00.000,0,2.73,2.86,2.67,2.86,2.82,2.8,,,,
2019-06-13 18:24:00.000,0,2.73,2.84,2.87,2.88,2.82,2.84,,,,
2019-06-13 18:25:00.000,0,2.97,2.82,2.7,2.86,2.84,2.83,,,,
2019-06-13 18:26:00.000,0,2.78,2.88,2.72,2.84,2.82,2.79,,,,
2019-06-13 18:27:00.000,0,2.82,2.71,2.73,2.86,2.82,2.8,,,,
2019-06-13 18:28:00.000,0,2.78,2.87,2.79,2.87,2.82,2.8,,,,
2019-06-13 18:29:00.000,0,2.7,2.85,2.68,2.84,2.83,2.83,,,,
2019-06-13 18:30:00.000,0,2.71,2.8,2.75,2.86,2.82,2.84,,,,
2019-06-13 18:31:00.000,0,2.79,2.7,2.89,2.88,2.82,2.82,,,,
2019-06-13 18:32:00.000,0,2.78,2.87,2.77,2.87,2.86,2.81,,,,
2019-06-13 18:33:00.000,0,2.85,2.93,2.86,2.86,2.84,2.79,,,,
2019-06-13 18:34:00.000,0,2.69,2.81,2.92,2.88,2.81,2.8,,,,
2019-06-13 18:35:00.000,0,2.92,2.63,2.92,2.86,2.82,2.84,,,,
2019-06-13 18:36:00.000,0,2.85,2.9,2.9,2.86,2.84,2.83,,,,
2019-06-13 18:37:00.000,0,2.76,2.9,2.85,2.88,2.82,2.81,,,,
2019-06-13 18:38:00.000,0,3.06,2.7,2.73,2.85,2.82,2.81,,,,
2019-06-13 18:39:00.000,0,2.79,2.8,2.68,2.87,2.84,2.8,,,,
2019-06-13 18:40:00.000,0,2.72,2.88,2.76,2.87,2.83,2.79,,,,
2019-06-13 18:41:00.000,0,2.92,2.87,2.97,2.85,2.81,2.81,,,,
2019-06-13 18:42:00.000,0,2.91,2.72,2.92,2.87,2.84,2.81,,,,
2019-06-13 18:43:00.000,0,2.95,2.76,2.79,2.85,2.84,2.82,,,,
2019-06-13 18:44:00.000,0,2.85,2.88,2.81,2.87,2.81,2.84,,,,
2019-06-13 18:45:00.000,0,2.96,2.72,2.7,2.86,2.83,2.81,,,,
2019-06-13 18:46:00.000,0,2.83,2.78,2.88,2.89,2.87,2.81,,,,
2019-06-13 18:47:00.000,0,2.83,2.8,2.85,2.87,2.84,2.82,,,,
2019-06-13 18:48:00.000,0,2.82,2.83,2.87,2.88,2.86,2.81,,,,
2019-06-13 18:49:00.000,0,2.85,2.65,2.96,2.86,2.84,2.81,,,,
2019-06-13 18:50:00.000,0,2.68,2.71,2.9,2.86,2.82,2.8,,,,
2019-06-13 18:51:00.000,0,2.89,2.7,2.71,2.87,2.83,2.8,,,,
2019-06-13 18:52:00.000,0,2.86,2.81,2.92,2.85,2.83,2.8,,,,
2019-06-13 18:53:00.000,0,2.75,2.84,2.79,2.88,2.82,2.82,,,,
2019-06-13 18:54:00.000,0,2.86,2.78,2.65,2.86,2.83,2.82,,,,
2019-06-13 18:55:00.000,0,3.02,2.67,2.82,2.87,2.84,2.8,,,,
2019-06-13 18:56:00.000,0,2.81,2.8,2.93,2.84,2.81,2.77,,,,
2019-06-13 18:57:00.000,0,2.9,2.72,2.69,2.83,2.78,2.75,,,,
2019-06-13 18:58:00.000,0,2.99,2.92,2.91,2.85,2.81,2.79,,,,
2019-06-13 18:59:00.000,0,2.9,2.9,2.92,2.83,2.82,2.79,,,,
2019-06-13 19:00:00.000,0,2.85,2.9,2.87,2.84,2.8,2.8,,,,
2019-06-13 19:01:00.000,0,2.86,2.76,2.73,2.84,2.8,2.8,,,,
2019-06-13 19:02:00.000,0,2.96,2.9,2.77,2.84,2.78,2.77,,,,
2019-06-13 19:03:00.000,0,2.77,2.85,2.65,2.82,2.78,2.75,,,,
2019-06-13 19:04:00.000,0,2.83,2.83,2.87,2.83,2.81,2.76,,,,
2019-06-13 19:05:00.000,0,2.85,2.72,2.82,2.8,2.79,2.76,,,,
