DataSavedTime,MilliSecond,Item001,Item002,Item003,Item004,Item005,Item006,Item007,Item008,Item009,Item010
2019-06-14 17:00:00.000,0,,,,,,,,,,
2019-06-14 17:01:00.000,0,,,,,,,,,,
2019-06-14 17:02:00.000,0,,,,,,,,,,
2019-06-14 17:03:00.000,0,,,,,,,,,,
2019-06-14 17:04:00.000,0,,,,,,,,,,
2019-06-14 17:05:00.000,0,,,,,,,,,,
2019-06-14 17:06:00.000,0,,,,,,,,,,
2019-06-14 17:07:00.000,0,,,,,,,,,,
2019-06-14 17:08:00.000,0,,,,,,,,,,
2019-06-14 17:09:00.000,0,,,,,,,,,,
2019-06-14 17:10:00.000,0,,,,,,,,,,
2019-06-14 17:11:00.000,0,,,,,,,,,,
2019-06-14 17:12:00.000,0,,,,,,,,,,
2019-06-14 17:13:00.000,0,,,,,,,,,,
2019-06-14 17:14:00.000,0,,,,,,,,,,
2019-06-14 17:15:00.000,0,,,,,,,,,,
2019-06-14 17:16:00.000,0,,,,,,,,,,
2019-06-14 17:17:00.000,0,,,,,,,,,,
2019-06-14 17:18:00.000,0,,,,,,,,,,
2019-06-14 17:19:00.000,0,,,,,,,,,,
2019-06-14 17:20:00.000,0,,,,,,,,,,
2019-06-14 17:21:00.000,0,,,,,,,,,,
2019-06-14 17:22:00.000,0,322.4,329.4,329.8,380.7,381.1,381.8,,,,
2019-06-14 17:23:00.000,0,323.2,330.2,327.1,379.7,380.6,380.8,,,,
2019-06-14 17:24:00.000,0,329.1,323.5,328.8,380.2,381.3,381.3,,,,
2019-06-14 17:25:00.000,0,324.2,322.8,325.3,380,381.2,381.3,,,,
2019-06-14 17:26:00.000,0,326.9,327.8,323.1,380.3,381.7,381.5,,,,
2019-06-14 17:27:00.000,0,322.5,324.1,323.1,380,381.4,381.1,,,,
2019-06-14 17:28:00.000,0,322.1,330.1,326.7,380.6,382.1,381.7,,,,
2019-06-14 17:29:00.000,0,326.8,330.2,330.5,380.8,382.2,381.8,,,,
2019-06-14 17:30:00.000,0,322.6,324.6,324.7,380.8,382.4,382.3,,,,
2019-06-14 17:31:00.000,0,324.1,323.4,327.3,381.4,382.7,382.3,,,,
2019-06-14 17:32:00.000,0,323.9,322.9,328.2,379.3,381.2,381.2,,,,
2019-06-14 17:33:00.000,0,324.1,328.7,326.9,379.2,381.3,381.1,,,,
2019-06-14 17:34:00.000,0,330.2,325.7,329.5,377.2,379,379.2,,,,
2019-06-14 17:35:00.000,0,327.4,330.7,323.4,377.8,379,379.4,,,,
2019-06-14 17:36:00.000,0,322.1,325.3,327.5,377.8,379.3,379.2,,,,
2019-06-14 17:37:00.000,0,324.3,328.6,325.6,377.5,378.2,378.3,,,,
2019-06-14 17:38:00.000,0,327.1,330.5,326.4,377.6,378.9,379,,,,
2019-06-14 17:39:00.000,0,327.5,324.6,329.6,379.3,380.9,380.9,,,,
2019-06-14 17:40:00.000,0,329.6,330.2,329,377.8,379,379,,,,
