DataSavedTime,MilliSecond,Item001,Item002,Item003,Item004,Item005,Item006,Item007,Item008,Item009,Item010
2019-05-24 17:00,0,,,,,,,,,,
2019-05-24 17:01,0,,,,,,,,,,
2019-05-24 17:02,0,,,,,,,,,,
2019-05-24 17:03,0,,,,,,,,,,
2019-05-24 17:04,0,,,,,,,,,,
2019-05-24 17:05,0,,,,,,,,,,
2019-05-24 17:06,0,,,,,,,,,,
2019-05-24 17:07,0,,,,,,,,,,
2019-05-24 17:08,0,,,,,,,,,,
2019-05-24 17:09,0,,,,,,,,,,
2019-05-24 17:10,0,,,,,,,,,,
2019-05-24 17:11,0,,,,,,,,,,
2019-05-24 17:12,0,,,,,,,,,,
2019-05-24 17:13,0,,,,,,,,,,
2019-05-24 17:14,0,,,,,,,,,,
2019-05-24 17:15,0,,,,,,,,,,
2019-05-24 17:16,0,,,,,,,,,,
2019-05-24 17:17,0,,,,,,,,,,
2019-05-24 17:18,0,,,,,,,,,,
2019-05-24 17:19,0,,,,,,,,,,
2019-05-24 17:20,0,,,,,,,,,,
2019-05-24 17:21,0,,,,,,,,,,
2019-05-24 17:22,0,,,,,,,,,,
2019-05-24 17:23,0,,,,3.02,2.98,3.02,,,,
2019-05-24 17:24,0,2.91,2.91,2.78,2.98,2.98,3,,,,
2019-05-24 17:25,0,2.73,2.96,2.91,2.99,2.97,3,,,,
2019-05-24 17:26,0,,,,,,,,,,
2019-05-24 17:27,0,2.72,2.85,2.92,3,2.97,2.99,,,,
2019-05-24 17:28,0,2.71,2.91,2.96,2.96,2.97,2.96,,,,
2019-05-24 17:29,0,,,,,,,,,,
2019-05-24 17:30,0,2.68,2.7,2.72,3.01,2.98,3.01,,,,
2019-05-24 17:31,0,2.89,2.78,2.89,3.01,3,3.02,,,,
2019-05-24 17:32,0,2.72,2.9,2.86,3.01,2.98,2.99,,,,
2019-05-24 17:33,0,2.9,2.78,2.72,3.03,2.99,3.01,,,,
2019-05-24 17:34,0,2.92,2.86,2.69,3.02,2.98,3.02,,,,
2019-05-24 17:35,0,2.91,2.86,2.8,3.03,2.98,2.99,,,,
2019-05-24 17:36,0,2.95,2.83,2.67,3.01,2.97,2.96,,,,
2019-05-24 17:37,0,2.98,2.83,2.75,3.02,2.98,3.02,,,,
2019-05-24 17:38,0,2.64,2.9,2.84,3.02,3,2.98,,,,
2019-05-24 17:39,0,2.82,2.67,2.88,3.01,3,2.98,,,,
2019-05-24 17:40,0,2.93,2.63,2.92,3.01,3,3.02,,,,
2019-05-24 17:41,0,2.92,2.92,2.89,3,3,2.99,,,,
2019-05-24 17:42,0,2.92,2.69,2.78,3.01,3.02,2.99,,,,
2019-05-24 17:43,0,2.72,2.67,2.87,2.93,2.95,2.95,,,,
2019-05-24 17:44,0,2.91,2.79,2.67,2.94,2.93,2.94,,,,
