DataSavedTime,MilliSecond,Item001,Item002,Item003,Item004,Item005,Item006,Item007,Item008,Item009,Item010
2019-05-24 17:54:00.000,0,,,,,,,,,,
2019-05-24 17:55:00.000,0,325.7,322.2,322.6,382.1,383.2,384.9,,,,
2019-05-24 17:56:00.000,0,322.8,324,321.9,382,383.6,384.5,,,,
2019-05-24 17:57:00.000,0,327.3,322.7,325.1,382.3,383.7,384.9,,,,
2019-05-24 17:58:00.000,0,327.5,329.4,327.5,382.3,383.1,385.2,,,,
2019-05-24 17:59:00.000,0,328.1,325.8,326.7,381.9,383.4,384.4,,,,
2019-05-24 18:00:00.000,0,320,328.6,327.4,382.1,383.3,384.2,,,,
2019-05-24 18:01:00.000,0,321.6,322.4,325,381.2,382.4,384,,,,
2019-05-24 18:02:00.000,0,327.5,324.2,324,381.8,382.8,383.8,,,,
2019-05-24 18:03:00.000,0,327.2,322.3,321.9,381.9,383.3,384.6,,,,
2019-05-24 18:04:00.000,0,321.9,330.1,328.7,381.5,382.9,384.6,,,,
2019-05-24 18:05:00.000,0,322.1,329.4,322.8,382.2,383.2,385.1,,,,
2019-05-24 18:06:00.000,0,322.2,329.4,328.1,382,383.1,384.1,,,,
2019-05-24 18:07:00.000,0,320.4,330,324.4,382.4,384.1,385.2,,,,
2019-05-24 18:08:00.000,0,327.9,322.6,323.5,378.7,380.5,381.3,,,,
2019-05-24 18:09:00.000,0,321.3,322.5,323.2,378.8,380,381.3,,,,
2019-05-24 18:10:00.000,0,321.6,322.7,325.3,378.5,379.8,381.4,,,,
2019-05-24 18:11:00.000,0,322.8,328.4,329.4,378.8,380,381.4,,,,
2019-05-24 18:12:00.000,0,328.2,322.7,324.1,378.9,379.8,381.5,,,,
2019-05-24 18:13:00.000,0,320.8,329.7,326.5,378.5,380,381.2,,,,
2019-05-24 18:14:00.000,0,320.9,329.5,325.8,378.7,379.7,381.4,,,,
2019-05-24 18:15:00.000,0,327.3,323.6,328.4,378.7,379.9,381.3,,,,
2019-05-24 18:16:00.000,0,323.6,330,322.1,378.4,379.8,381.3,,,,
2019-05-24 18:17:00.000,0,321.2,322.2,326.5,378.6,379.9,381.4,,,,
2019-05-24 18:18:00.000,0,321,322.4,323.6,379.1,380.3,381.7,,,,
2019-05-24 18:19:00.000,0,323.5,330.3,322.2,378.8,380.3,381.7,,,,
2019-05-24 18:20:00.000,0,323.6,328.5,328.7,378.4,379.8,381,,,,
2019-05-24 18:21:00.000,0,321.2,328.3,321.8,378.3,380.4,381.5,,,,
2019-05-24 18:22:00.000,0,326.9,326,329.4,378.8,380.5,381.9,,,,
2019-05-24 18:23:00.000,0,324,329.6,324.4,378.5,380,381.5,,,,
2019-05-24 18:24:00.000,0,320.6,323.6,322.4,378.7,380.5,381.8,,,,
2019-05-24 18:25:00.000,0,321.2,329.5,322.3,378.7,380.2,381.4,,,,
2019-05-24 18:26:00.000,0,324,323.4,325.8,379.4,380.1,381.5,,,,
2019-05-24 18:27:00.000,0,324.2,323.4,327.2,378.8,379.8,381.2,,,,
2019-05-24 18:28:00.000,0,320.8,329.3,321.8,378.5,379.6,381.1,,,,
